,price,Address,area,Bedrooms,Bathrooms,neworold,type_of_building,Address_Values
58,17000000.0,"Andheri East, Mumbai - Western Suburbs, Maharashtra",712.0,2,2,0,0,81.0
59,14000000.0,"Andheri East, Mumbai - Western Suburbs, Maharashtra",585.0,2,2,0,0,81.0
60,18000000.0,"Andheri East, Mumbai - Western Suburbs, Maharashtra",1070.0,2,2,0,0,81.0
61,16000000.0,"Andheri East, Mumbai - Western Suburbs, Maharashtra",980.0,2,2,0,0,81.0
62,30000000.0,"Andheri East, Mumbai - Western Suburbs, Maharashtra",1112.0,2,2,0,0,81.0
63,25000000.0,"Andheri East, Mumbai - Western Suburbs, Maharashtra",1190.0,2,3,1,1,81.0
65,22000000.0,"Andheri East, Mumbai - Western Suburbs, Maharashtra",1350.0,2,2,0,1,81.0
66,17500000.0,"Andheri East, Mumbai - Western Suburbs, Maharashtra",850.0,2,2,0,0,81.0
67,16800000.0,"Andheri East, Mumbai - Western Suburbs, Maharashtra",930.0,2,2,0,0,81.0
68,22000000.0,"Andheri East, Mumbai, Andheri East, Mumbai - Western Suburbs, Maharashtra",1150.0,2,2,0,0,11.0
69,29000000.0,"Andheri East, Mumbai, Andheri East, Mumbai - Western Suburbs, Maharashtra",1568.0,3,3,0,0,11.0
70,16800000.0,"Andheri East, Mumbai, Andheri East, Mumbai - Western Suburbs, Maharashtra",1045.0,2,2,0,0,11.0
71,40000000.0,"Andheri East, Mumbai, Andheri East, Mumbai - Western Suburbs, Maharashtra",1880.0,3,3,0,0,11.0
72,24000000.0,"Andheri East, Mumbai, Andheri East, Mumbai - Western Suburbs, Maharashtra",1430.0,3,3,0,0,11.0
73,29500000.0,"Andheri East, Mumbai, Andheri East, Mumbai - Western Suburbs, Maharashtra",1400.0,3,3,0,0,11.0
74,13500000.0,"Andheri East, Mumbai, Andheri East, Mumbai - Western Suburbs, Maharashtra",748.0,2,2,1,0,11.0
75,15500000.0,"Andheri East, Mumbai, Andheri East, Mumbai - Western Suburbs, Maharashtra",900.0,2,2,0,0,11.0
